number,seg_id_1,code,total_dur,dur_1,iatacode_1,iatacode_2,carriercode_1,air_number_1,at_1,transfer,seg_id_1,dur_2,iatacode_1,iatacode_2,carriercode_2,air_number_2,at_2,bookable_seats,currency,total
1,61,789,PT14H20M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,61,PT2H,AMS,LCY,KL,981,2022-07-01,9,EUR,447.44
2,170,789,PT14H45M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,170,,AMS,LHR,KL,1001,2022-07-01,9,EUR,447.44
3,51,789,PT15H15M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,51,,AMS,LCY,KL,983,2022-07-01,9,EUR,447.44
4,200,789,PT15H55M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,200,,AMS,LCY,KL,985,2022-07-01,9,EUR,447.44
5,1,772,PT16H,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,1,,AMS,LCY,KL,981,2022-07-01,9,EUR,447.44
6,17,789,PT16H5M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,17,PT2H,AMS,LHR,KL,1007,2022-07-01,9,EUR,447.44
7,117,789,PT16H35M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,117,,AMS,LCY,KL,987,2022-07-01,9,EUR,447.44
8,186,789,PT17H50M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,186,PT2H20M,AMS,LHR,KL,1009,2022-07-01,9,EUR,447.44
9,208,789,PT20H55M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,208,PT2H35M,AMS,LHR,KL,1017,2022-07-01,9,EUR,447.44
10,67,789,PT23H20M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,67,,AMS,LHR,KL,1021,2022-07-01,9,EUR,447.44
11,89,789,PT24H25M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,89,,AMS,LCY,KL,991,2022-07-01,9,EUR,447.44
12,154,789,PT24H40M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,154,PT2H5M,AMS,LHR,KL,1023,2022-07-01,9,EUR,447.44
13,210,789,PT24H55M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,210,PT2H5M,AMS,LHR,KL,1031,2022-07-01,9,EUR,447.44
14,156,789,PT25H40M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,156,,AMS,LCY,KL,993,2022-07-01,9,EUR,447.44
15,71,772,PT26H20M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,71,PT1H20M,AMS,LHR,KL,1023,2022-07-01,9,EUR,447.44
16,105,789,PT26H30M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,105,PT1H15M,AMS,LHR,KL,1027,2022-07-01,9,EUR,447.44
17,135,772,PT26H35M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,135,PT1H25M,AMS,LHR,KL,1031,2022-07-01,9,EUR,447.44
18,182,789,PT26H45M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,182,PT1H20M,AMS,LCY,KL,997,2022-07-01,9,EUR,447.44
19,9,789,PT28H,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,9,PT1H15M,AMS,LHR,KL,1033,2022-07-01,9,EUR,447.44
20,91,772,PT28H25M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,91,PT1H15M,AMS,LCY,KL,997,2022-07-01,9,EUR,447.44
21,162,772,PT29H40M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,162,PT1H20M,AMS,LHR,KL,1033,2022-07-01,9,EUR,447.44
22,178,789,PT23H45M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,178,PT1H20M,AMS,LCY,KL,989,2022-07-01,8,EUR,447.44
23,59,789,PT24H15M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,59,PT1H15M,AMS,LHR,KL,1029,2022-07-01,8,EUR,447.44
24,3,772,PT25H,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,3,PT1H20M,AMS,LHR,KL,1021,2022-07-01,7,EUR,447.44
25,31,772,PT26H5M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,31,PT1H15M,AMS,LCY,KL,991,2022-07-01,2,EUR,447.44
26,73,772,PT27H20M,PT11H35M,ICN,AMS,KL,79,2022-07-01,Y,73,PT1H15M,AMS,LCY,KL,993,2022-07-01,4,EUR,447.44
27,57,77W,PT20H15M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,57,PT1H20M,CDG,LHR,AF,1380,2022-07-01,9,EUR,447.46
28,218,77W,PT30H55M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,218,PT1H15M,CDG,LHR,AF,1680,2022-07-02,9,EUR,449.07
29,172,359,PT14H45M,PT9H35M,ICN,HEL,AY,42,2022-07-01,Y,172,PT1H15M,HEL,LHR,AY,1337,2022-07-01,9,EUR,459.78
30,65,359,PT18H20M,PT9H35M,ICN,HEL,AY,42,2022-07-01,Y,65,PT1H20M,HEL,LHR,AY,1339,2022-07-01,9,EUR,459.78
31,197,359,PT30H50M,PT9H35M,ICN,HEL,AY,42,2022-07-01,Y,197,PT1H15M,HEL,LHR,AY,1331,2022-07-02,9,EUR,459.78
32,7,781,PT27H,PT10H15M,ICN,AUH,EY,857,2022-07-01,Y,7,PT1H15M,AUH,LHR,EY,19,2022-07-02,9,EUR,468.64
33,115,781,PT32H30M,PT10H15M,ICN,AUH,EY,857,2022-07-01,Y,115,PT1H20M,AUH,LHR,EY,9,2022-07-02,9,EUR,468.64
34,129,388,PT21H35M,PT9H30M,ICN,DXB,EK,323,2022-07-01,Y,129,PT1H25M,DXB,STN,EK,65,2022-07-02,3,EUR,480.28
35,97,388,PT39H25M,PT9H30M,ICN,DXB,EK,323,2022-07-01,Y,97,PT2H5M,DXB,LGW,EK,11,2022-07-03,3,EUR,480.28
36,85,77W,PT19H25M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,85,PT2H5M,DOH,LHR,QR,3,2022-07-01,9,EUR,483.61
37,87,77W,PT20H25M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,87,PT1H15M,DOH,LHR,QR,7,2022-07-01,9,EUR,483.61
38,142,77W,PT36H35M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,142,PT1H15M,DOH,LGW,QR,5943,2022-07-02,9,EUR,486.98
39,166,77W,PT36H40M,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,166,PT1H20M,DOH,LHR,QR,11,2022-07-02,9,EUR,486.98
40,15,77W,PT37H,PT10H10M,ICN,DOH,QR,859,2022-07-01,Y,15,PT1H15M,DOH,LGW,QR,329,2022-07-02,9,EUR,486.98
41,27,789,PT22H5M,PT11H15M,ICN,AMS,KL,856,2022-07-01,Y,27,PT1H20M,AMS,LHR,KL,1019,2022-07-01,9,EUR,520.44
42,99,77W,PT15H30M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,99,PT1H20M,CDG,LHR,AF,1280,2022-07-01,9,EUR,520.46
43,101,77W,PT17H30M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,101,PT1H20M,CDG,LHR,AF,1180,2022-07-01,9,EUR,520.46
44,95,77W,PT33H25M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,95,PT1H20M,CDG,LHR,AF,1580,2022-07-02,9,EUR,522.07
45,168,77W,PT36H40M,PT12H5M,ICN,CDG,AF,267,2022-07-01,Y,168,PT1H20M,CDG,LHR,AF,1780,2022-07-02,9,EUR,522.07
46,77,789,PT14H25M,PT10H30M,ICN,WAW,LO,98,2022-07-01,Y,77,PT1H20M,WAW,LHR,LO,279,2022-07-01,9,EUR,561.73
47,188,789,PT18H50M,PT10H30M,ICN,WAW,LO,98,2022-07-01,Y,188,PT1H15M,WAW,LHR,LO,285,2022-07-01,9,EUR,561.73
48,113,789,PT30H30M,PT10H30M,ICN,WAW,LO,98,2022-07-01,Y,113,PT1H20M,WAW,LHR,LO,281,2022-07-02,9,EUR,561.73
49,158,388,PT26H40M,PT9H30M,ICN,DXB,EK,323,2022-07-01,Y,158,PT1H15M,DXB,LGW,EK,9,2022-07-02,9,EUR,573.28
50,53,359,PT16H15M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,53,PT1H15M,MUC,LHR,LH,2480,2022-07-01,9,EUR,573.69
51,63,359,PT17H20M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,63,PT1H15M,MUC,LHR,LH,2482,2022-07-01,9,EUR,573.69
52,121,359,PT17H35M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,121,PT1H15M,MUC,LHR,LH,4404,2022-07-01,9,EUR,573.69
53,123,359,PT18H35M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,123,PT1H15M,MUC,LHR,LH,4402,2022-07-01,9,EUR,573.69
54,55,359,PT19H15M,PT13H10M,ICN,MUC,LH,719,2022-07-01,Y,55,PT1H15M,MUC,LHR,LH,2484,2022-07-01,9,EUR,573.69
55,148,388,PT15H40M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,148,PT1H20M,FRA,LHR,LH,4755,2022-07-01,9,EUR,580.13
56,19,388,PT16H5M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,19,PT1H15M,FRA,LHR,LH,922,2022-07-01,9,EUR,580.13
57,204,388,PT16H55M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,204,PT1H25M,FRA,LHR,LH,4268,2022-07-01,9,EUR,580.13
58,125,388,PT18H35M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,125,PT1H20M,FRA,LHR,LH,7036,2022-07-02,9,EUR,590.99
59,131,388,PT25H35M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,131,PT1H50M,FRA,LHR,LH,924,2022-07-02,9,EUR,590.99
60,212,388,PT26H55M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,212,PT1H50M,FRA,LHR,LH,5002,2022-07-02,9,EUR,603.76
61,160,388,PT27H40M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,160,PT1H20M,FRA,LHR,LH,902,2022-07-02,9,EUR,603.76
62,214,388,PT27H55M,PT12H45M,ICN,FRA,LH,4557,2022-07-01,Y,214,PT1H20M,FRA,LHR,LH,4267,2022-07-02,9,EUR,603.76
63,216,359,PT28H55M,PT5H50M,ICN,BKK,TG,657,2022-07-01,Y,216,PT1H20M,BKK,LHR,TG,910,2022-07-02,7,EUR,613.3
