,code,total_dur,dur_1,departure_1,arrival_1,carriercode_1,dep_date,transfer,dur_2,departure_2,arrival_2,carriercode_2,arr_date,bookable_seats,currency,total,dest,ontime_proba
0,73H,0 days 08:30:00,0 days 02:25:00,LGW,MAD,UX,2022-03-01,Y,0 days 02:00:00,MAD,ORY,UX,2022-03-01,9,EUR,83.51,PAR,0.82137072
1,320,0 days 01:20:00,0 days 01:20:00,LHR,,AF,2022-03-01,N,0 days 00:00:00,CDG,,,2022-03-01,9,EUR,85.84,PAR,0.82137072
2,320,0 days 01:20:00,0 days 01:20:00,LHR,,AF,2022-03-01,N,0 days 00:00:00,CDG,,,2022-03-01,9,EUR,85.84,PAR,0.82137072
3,320,0 days 01:20:00,0 days 01:20:00,LHR,,AF,2022-03-01,N,0 days 00:00:00,CDG,,,2022-03-01,9,EUR,85.84,PAR,0.82137072
4,320,0 days 01:20:00,0 days 01:20:00,LHR,,AF,2022-03-01,N,0 days 00:00:00,CDG,,,2022-03-01,9,EUR,85.84,PAR,0.82137072
5,73H,0 days 14:45:00,0 days 02:25:00,LGW,MAD,UX,2022-03-01,Y,0 days 02:00:00,MAD,ORY,UX,2022-03-02,9,EUR,88.51,PAR,0.81864971
6,320,0 days 01:25:00,0 days 01:25:00,LHR,,AF,2022-03-01,N,0 days 00:00:00,CDG,,,2022-03-01,9,EUR,98.84,PAR,0.82137072
7,32N,0 days 05:15:00,0 days 02:10:00,LHR,OSL,SK,2022-03-01,Y,0 days 02:20:00,OSL,CDG,SK,2022-03-01,9,EUR,105.08,PAR,0.82137072
8,32N,0 days 07:10:00,0 days 02:35:00,LHR,ARN,SK,2022-03-01,Y,0 days 02:35:00,ARN,CDG,SK,2022-03-01,9,EUR,109.69,PAR,0.82137072
9,32A,0 days 01:10:00,0 days 01:10:00,LGW,,VY,2022-03-01,N,0 days 00:00:00,ORY,,,2022-03-01,9,EUR,110.61,PAR,0.82137072
10,320,0 days 01:10:00,0 days 01:10:00,LGW,,VY,2022-03-01,N,0 days 00:00:00,ORY,,,2022-03-01,9,EUR,110.61,PAR,0.82137072
11,320,0 days 06:20:00,0 days 02:30:00,LHR,MAD,IB,2022-03-01,Y,0 days 02:05:00,MAD,CDG,IB,2022-03-01,9,EUR,122.5,PAR,0.82137072
12,320,0 days 07:45:00,0 days 02:30:00,LHR,MAD,IB,2022-03-01,Y,0 days 02:05:00,MAD,CDG,IB,2022-03-01,9,EUR,122.5,PAR,0.82137072
13,319,0 days 01:20:00,0 days 01:20:00,LHR,,AF,2022-03-01,N,0 days 00:00:00,CDG,,,2022-03-01,9,EUR,136.84,PAR,0.82137072
14,73H,0 days 03:25:00,0 days 01:20:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
15,73W,0 days 04:00:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
16,73H,0 days 04:15:00,0 days 01:30:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:25:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
17,73J,0 days 04:15:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
18,73W,0 days 04:20:00,0 days 01:15:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
19,73H,0 days 05:05:00,0 days 01:20:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
20,73J,0 days 05:10:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
21,73W,0 days 05:35:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
22,73H,0 days 06:10:00,0 days 01:30:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
23,73W,0 days 06:30:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
24,73H,0 days 06:40:00,0 days 01:20:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
25,73J,0 days 06:50:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
26,73H,0 days 07:45:00,0 days 01:30:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
27,73W,0 days 08:10:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
28,73J,0 days 08:25:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
29,73H,0 days 08:40:00,0 days 01:30:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
30,73W,0 days 09:45:00,0 days 01:25:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
31,73H,0 days 10:20:00,0 days 01:30:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:15:00,AMS,CDG,KL,2022-03-01,9,EUR,147.58,PAR,0.82137072
32,73H,0 days 10:45:00,0 days 01:10:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:20:00,AMS,CDG,KL,2022-03-02,9,EUR,147.58,PAR,0.81864971
33,73H,0 days 11:20:00,0 days 01:10:00,LHR,AMS,KL,2022-03-01,Y,0 days 01:25:00,AMS,CDG,KL,2022-03-02,9,EUR,147.58,PAR,0.81864971
